State,Overall Homeless,Sheltered,Unsheltered,Alone,In_families,Chronic,Rate_Total_homeless,Rate_Sheltered,Rate_Unsheltered,Rate_Alone,Rate_In_families,Rate_Chronic,Pop,Homeless/Capita
OR,14476,5551,8925,11139,3337,4321,0.0374829786,-0.0726695623,0.1202460148,0.0675675676,-0.0517192384,0.2757602598,4190713,3.4543047925
PA,13512,11768,1744,8163,5349,1408,-0.0442778328,-0.0463533225,-0.0300333704,-0.0130576714,-0.088290438,-0.0208623088,12807060,1.0550430778
RI,1101,1050,51,747,354,264,-0.0669491525,-0.0549054905,-0.2608695652,-0.0685785536,-0.0634920635,0.1,1057315,1.0413169207
SC,3933,2589,1344,3082,851,686,0.0043411645,0.0720496894,-0.1045969354,0.0642265193,-0.1656862745,-0.1674757282,5084127,0.7735841375
SD,1159,874,285,836,323,190,0.2290562036,0.1321243523,0.6666666667,0.3682487725,-0.0271084337,0.3194444444,882235,1.3137089324
TN,7883,5028,2855,6139,1744,1663,-0.0512697075,-0.0930735931,0.0325497288,0.0003258921,-0.197053407,0.1206199461,6770010,1.1644000526
TX,25310,14776,10534,19199,6111,3404,0.0748258875,-0.0185320492,0.240315554,0.1490902562,-0.1065789474,-0.0827270278,28701845,0.8818248444
UT,2876,2456,420,1904,972,306,0.0084151473,-0.0458430458,0.5107913669,0.0116896918,0.0020618557,0.6540540541,3161105,0.9098084372
VA,5975,5060,915,3928,2047,897,-0.015164002,0.0001976675,-0.0922619048,-0.0248262165,0.0039234919,0.0011160714,8517685,0.7014816819
VI,486,179,307,415,71,307,0.2755905512,1.4189189189,0,0.1246612466,4.9166666667,-0.0808383234,1805832,0.2691280252
VT,1291,1209,82,780,511,160,0.053877551,0.1081576535,-0.3880597015,0.1190817791,-0.0321969697,0.2598425197,626299,2.0613157613
WA,22304,11683,10621,16424,5880,6158,0.0564607806,-0.0669275617,0.2362937958,0.1111562141,-0.0712367714,0.2468110954,7535591,2.9598209351
WI,4907,4525,382,2740,2167,527,-0.0238710961,-0.0345636868,0.1235294118,0.0359168242,-0.0902602855,0.2142857143,5813568,0.8440599646
WV,1243,1060,183,1021,222,154,-0.0504201681,-0.0544157003,-0.0265957447,-0.0106589147,-0.1985559567,-0.2524271845,1805832,0.6883253813
WY,639,440,199,434,205,46,-0.2680412371,-0.137254902,-0.4517906336,-0.3022508039,-0.1832669323,-0.3235294118,577737,1.1060395993
Total,552830,358363,194467,372417,180413,96913,0.0033285178,-0.0069388445,0.022816088,0.0159089979,-0.0216798347,0.0191498759,,
