State,Number of CoCs,"Overall Homeless, 2013","Sheltered ES Homeless, 2013","Sheltered TH Homeless, 2013","Sheltered SH Homeless, 2013","Sheltered Total Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered ES Homeless Individuals, 2013","Sheltered TH Homeless Individuals, 2013","Sheltered SH Homeless Individuals, 2013","Sheltered Total Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered ES Homeless People in Families, 2013","Sheltered TH Homeless People in Families, 2013","Sheltered Total Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Homeless Family Households, 2013","Sheltered ES Homeless Family Households, 2013","Sheltered TH Homeless Family Households, 2013","Sheltered Total Homeless Family Households, 2013","Unsheltered Homeless Family Households, 2013","Chronically Homeless, 2013","Sheltered ES Chronically Homeless, 2013","Sheltered SH Chronically Homeless, 2013","Sheltered Total Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered ES Chronically Homeless Individuals, 2013","Sheltered SH Chronically Homeless Individuals, 2013","Sheltered Total Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered ES Chronically Homeless People in Families, 2013","Sheltered Total Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Total Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013"
AK,2,"1,946","1,137",604,0,"1,741",205,"1,362",835,373,0,"1,208",154,584,302,231,533,51,196,105,77,182,14,184,138,0,138,46,166,124,0,124,42,18,14,14,4,210,188,22
AL,8,"4,689","1,555","1,660",31,"3,246","1,443","3,387","1,051","1,130",31,"2,212","1,175","1,302",504,530,"1,034",268,495,206,169,375,120,858,265,30,295,563,768,219,30,249,519,90,46,46,44,511,363,148
AR,6,"3,812","1,037",627,0,"1,664","2,148","3,174",651,526,0,"1,177","1,997",638,386,101,487,151,218,125,37,162,56,602,171,0,171,431,565,142,0,142,423,37,29,29,8,462,326,136
AZ,3,"10,562","3,893","3,500",38,"7,431","3,131","6,510","2,458","1,166",38,"3,662","2,848","4,052","1,435","2,334","3,769",283,"1,291",426,784,"1,210",81,"1,188",482,38,520,668,"1,064",412,38,450,614,124,70,70,54,"1,222",901,321
CA,40,"118,552","21,928","23,432",194,"45,554","72,998","93,458","14,520","11,712",194,"26,426","67,032","25,094","7,408","11,720","19,128","5,966","8,267","2,395","3,863","6,258","2,009","33,112","5,172",79,"5,251","27,861","29,248","4,098",79,"4,177","25,071","3,864","1,074","1,074","2,790","12,895","4,886","8,009"
CO,3,"9,754","4,025","3,543",23,"7,591","2,163","4,664","2,335",717,23,"3,075","1,589","5,090","1,690","2,826","4,516",574,"1,444",440,844,"1,284",160,"1,780",823,23,846,934,"1,354",642,23,665,689,426,181,181,245,685,452,233
CT,6,"4,448","2,390","1,139",0,"3,529",919,"3,101","1,632",643,0,"2,275",826,"1,347",758,496,"1,254",93,475,263,175,438,37,"1,046",678,0,678,368,872,542,0,542,330,174,136,136,38,341,267,74
DC,1,"6,865","4,010","2,343",0,"6,353",512,"3,696","2,459",725,0,"3,184",512,"3,169","1,551","1,618","3,169",0,983,464,519,983,0,"2,027","1,566",0,"1,566",461,"1,764","1,303",0,"1,303",461,263,263,263,0,499,435,64
DE,1,946,516,410,10,936,10,575,353,202,10,565,10,371,163,208,371,0,119,53,66,119,0,71,61,7,68,3,65,55,7,62,3,6,6,6,0,89,86,3
FL,28,"47,862","8,755","10,729",186,"19,670","28,192","31,359","5,853","6,291",186,"12,330","19,029","16,503","2,902","4,438","7,340","9,163","5,806",959,"1,461","2,420","3,386","9,647","1,720",153,"1,873","7,774","7,778","1,455",153,"1,608","6,170","1,869",265,265,"1,604","5,505","2,328","3,177"
GA,9,"16,971","4,824","3,686",0,"8,510","8,461","12,880","3,381","1,869",0,"5,250","7,630","4,091","1,443","1,817","3,260",831,"1,257",491,499,990,267,"3,082",936,0,936,"2,146","2,713",842,0,842,"1,871",369,94,94,275,"1,805",900,905
GU,1,"1,271",60,68,0,128,"1,143",296,11,24,0,35,261,975,49,44,93,882,167,15,10,25,142,290,1,0,1,289,51,1,0,1,50,239,0,0,239,32,2,30
HI,2,"6,335","1,226","2,494",25,"3,745","2,590","3,355",596,521,25,"1,142","2,213","2,980",630,"1,973","2,603",377,736,173,470,643,93,"1,180",252,21,273,907,"1,031",191,21,212,819,149,61,61,88,558,234,324
IA,3,"3,084","1,203","1,747",0,"2,950",134,"1,524",782,610,0,"1,392",132,"1,560",421,"1,137","1,558",2,495,140,354,494,1,327,258,0,258,69,277,208,0,208,69,50,50,50,0,229,220,9
ID,2,"1,781",745,659,0,"1,404",377,"1,084",490,285,0,775,309,697,255,374,629,68,211,73,119,192,19,271,165,0,165,106,193,105,0,105,88,78,60,60,18,208,162,46
IL,20,"13,425","5,160","5,980",89,"11,229","2,196","7,958","3,934","2,081",89,"6,104","1,854","5,467","1,226","3,899","5,125",342,"1,730",405,"1,224","1,629",101,"1,574",939,41,980,594,"1,403",849,41,890,513,171,90,90,81,"1,267",882,385
IN,3,"6,096","3,087","2,285",24,"5,396",700,"3,751","2,021","1,122",24,"3,167",584,"2,345","1,066","1,163","2,229",116,739,328,377,705,34,580,385,24,409,171,511,319,24,343,168,69,66,66,3,743,666,77
KS,5,"2,693","1,329","1,044",9,"2,382",311,"1,480",787,442,9,"1,238",242,"1,213",542,602,"1,144",69,387,169,196,365,22,356,244,5,249,107,304,199,5,204,100,52,45,45,7,414,384,30
KY,3,"5,245","2,439","2,042",10,"4,491",754,"3,302","1,661","1,062",10,"2,733",569,"1,943",778,980,"1,758",185,672,255,359,614,58,541,266,2,268,273,394,217,2,219,175,147,49,49,98,607,510,97
LA,9,"5,226","1,389","2,228",34,"3,651","1,575","3,908","1,098","1,269",34,"2,401","1,507","1,318",291,959,"1,250",68,415,96,297,393,22,"1,115",236,9,245,870,"1,015",218,9,227,788,100,18,18,82,575,383,192
MA,18,"19,029","13,962","4,158",59,"18,179",850,"6,694","3,362","2,462",59,"5,883",811,"12,335","10,600","1,696","12,296",39,"4,327","3,653",661,"4,314",13,"2,115","1,697",18,"1,715",400,"1,577","1,162",18,"1,180",397,538,535,535,3,"1,253","1,204",49
MD,16,"8,205","3,713","2,471",99,"6,283","1,922","5,221","2,338","1,280",99,"3,717","1,504","2,984","1,375","1,191","2,566",418,997,467,405,872,125,"1,480",793,69,862,618,"1,249",656,69,725,524,231,137,137,94,673,563,110
ME,2,"3,016","1,090","1,851",13,"2,954",62,"1,563",788,717,13,"1,518",45,"1,453",302,"1,134","1,436",17,494,105,382,487,7,176,170,6,176,0,159,153,6,159,0,17,17,17,0,164,150,14
MI,21,"11,527","4,927","4,368",44,"9,339","2,188","7,236","3,369","2,106",44,"5,519","1,717","4,291","1,558","2,262","3,820",471,"1,412",503,738,"1,241",171,"1,106",646,20,666,440,969,558,20,578,391,137,88,88,49,"1,100",945,155
MN,10,"8,214","4,158","3,131",10,"7,299",915,"3,728","2,037",976,10,"3,023",705,"4,486","2,121","2,155","4,276",210,"1,338",586,687,"1,273",65,"1,350",991,10,"1,001",349,915,612,10,622,293,435,379,379,56,349,286,63
MO,8,"8,581","3,381","3,069",51,"6,501","2,080","4,652","1,835","1,479",51,"3,365","1,287","3,929","1,546","1,590","3,136",793,"1,259",496,518,"1,014",245,"1,037",559,42,601,436,695,352,42,394,301,342,207,207,135,843,667,176
MP,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
MS,3,"2,403",501,582,0,"1,083","1,320","1,753",323,325,0,648,"1,105",650,178,257,435,215,192,43,91,134,58,475,68,0,68,407,408,61,0,61,347,67,7,7,60,210,129,81
MT,1,"1,878",706,388,0,"1,094",784,"1,211",410,164,0,574,637,667,296,224,520,147,207,89,76,165,42,227,65,0,65,162,210,55,0,55,155,17,10,10,7,309,118,191
NC,12,"12,168","5,281","3,732",0,"9,013","3,155","7,530","3,716","1,667",0,"5,383","2,147","4,638","1,565","2,065","3,630","1,008","1,520",519,650,"1,169",351,"1,842",802,0,802,"1,040","1,451",675,0,675,776,391,127,127,264,"1,123",934,189
ND,1,"2,069",540,134,0,674,"1,395","1,230",370,73,0,443,787,839,170,61,231,608,244,62,21,83,161,179,68,0,68,111,110,68,0,68,42,69,0,0,69,241,60,181
