State,Number of CoCs,"Overall Homeless, 2013","Sheltered ES Homeless, 2013","Sheltered TH Homeless, 2013","Sheltered SH Homeless, 2013","Sheltered Total Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered ES Homeless Individuals, 2013","Sheltered TH Homeless Individuals, 2013","Sheltered SH Homeless Individuals, 2013","Sheltered Total Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered ES Homeless People in Families, 2013","Sheltered TH Homeless People in Families, 2013","Sheltered Total Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Homeless Family Households, 2013","Sheltered ES Homeless Family Households, 2013","Sheltered TH Homeless Family Households, 2013","Sheltered Total Homeless Family Households, 2013","Unsheltered Homeless Family Households, 2013","Chronically Homeless, 2013","Sheltered ES Chronically Homeless, 2013","Sheltered SH Chronically Homeless, 2013","Sheltered Total Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered ES Chronically Homeless Individuals, 2013","Sheltered SH Chronically Homeless Individuals, 2013","Sheltered Total Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered ES Chronically Homeless People in Families, 2013","Sheltered Total Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Total Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013"
NE,3,"3,145","1,532","1,440",0,"2,972",173,"1,892","1,041",692,0,"1,733",159,"1,253",491,748,"1,239",14,397,159,234,393,4,414,342,0,342,72,339,273,0,273,66,75,69,69,6,183,161,22
NH,3,"1,447",685,551,9,"1,245",202,798,450,167,9,626,172,649,235,384,619,30,229,76,143,219,10,255,129,6,135,120,226,112,6,118,108,29,17,17,12,125,112,13
NJ,17,"12,002","7,224","3,360",19,"10,603","1,399","6,093","3,748","1,149",19,"4,916","1,177","5,909","3,476","2,211","5,687",222,"1,994","1,189",728,"1,917",77,"1,237",839,8,847,390,"1,002",630,8,638,364,235,209,209,26,540,420,120
NM,2,"2,819","1,495",896,0,"2,391",428,"1,786","1,098",313,0,"1,411",375,"1,033",397,583,980,53,323,123,181,304,19,525,306,0,306,219,399,240,0,240,159,126,66,66,60,243,183,60
NV,3,"7,039","2,496","1,182",20,"3,698","3,341","6,200","2,015",864,20,"2,899","3,301",839,481,318,799,40,316,195,109,304,12,724,376,1,377,347,718,374,1,375,343,6,2,2,4,790,477,313
NY,30,"77,430","61,742","11,375",156,"73,273","4,157","31,235","20,728","6,330",156,"27,214","4,021","46,195","41,014","5,045","46,059",136,"13,675","11,961","1,686","13,647",28,"6,317","3,733",152,"3,885","2,432","4,045","1,521",152,"1,673","2,372","2,272","2,212","2,212",60,"4,659","4,201",458
OH,9,"12,325","6,336","4,555",96,"10,987","1,338","7,611","4,196","2,180",96,"6,472","1,139","4,714","2,140","2,375","4,515",199,"1,501",672,776,"1,448",53,"1,753","1,141",66,"1,207",546,"1,677","1,069",66,"1,135",542,76,72,72,4,"1,212","1,050",162
OK,8,"4,408","2,301",915,46,"3,262","1,146","3,179","1,764",510,46,"2,320",859,"1,229",537,405,942,287,426,179,134,313,113,719,309,21,330,389,617,239,21,260,357,102,70,70,32,437,338,99
OR,7,"13,822","2,800","3,619",13,"6,432","7,390","8,994","1,983","1,606",13,"3,602","5,392","4,828",817,"2,013","2,830","1,998","1,524",276,629,905,619,"3,043",712,11,723,"2,320","2,444",577,11,588,"1,856",599,135,135,464,"1,494",709,785
PA,18,"15,086","6,943","6,555",229,"13,727","1,359","7,973","4,207","2,331",229,"6,767","1,206","7,113","2,736","4,224","6,960",153,"2,409",929,"1,432","2,361",48,"1,681",828,182,"1,010",671,"1,536",707,182,889,647,145,121,121,24,"1,462","1,290",172
PR,2,"4,128",339,995,68,"1,402","2,726","3,470",300,689,68,"1,057","2,413",658,39,306,345,313,185,16,91,107,78,"2,130",195,66,261,"1,869","1,629",190,66,256,"1,373",501,5,5,496,82,40,42
RI,1,"1,384",850,400,17,"1,267",117,862,564,172,17,753,109,522,286,228,514,8,177,96,79,175,2,251,182,16,198,53,243,174,16,190,53,8,8,8,0,97,95,2
SC,4,"6,544","1,677","1,722",12,"3,411","3,133","4,736","1,300","1,027",12,"2,339","2,397","1,808",377,695,"1,072",736,640,136,229,365,275,483,131,12,143,340,453,113,12,125,328,30,18,18,12,636,345,291
SD,1,"1,094",433,322,0,755,339,557,255,139,0,394,163,537,178,183,361,176,154,56,59,115,39,217,71,0,71,146,117,42,0,42,75,100,29,29,71,125,106,19
TN,10,"9,528","3,421","2,881",19,"6,321","3,207","6,909","2,707","1,906",19,"4,632","2,277","2,619",714,975,"1,689",930,880,249,332,581,299,"2,219","1,144",18,"1,162","1,057","1,929","1,061",18,"1,079",850,290,83,83,207,991,728,263
TX,12,"29,615","9,935","7,456",134,"17,525","12,090","20,758","6,259","3,288",134,"9,681","11,077","8,857","3,676","4,168","7,844","1,013","2,826","1,140","1,392","2,532",294,"5,535","2,057",111,"2,168","3,367","4,770","1,566",111,"1,677","3,093",765,491,491,274,"3,878","2,007","1,871"
UT,3,"3,277","1,773","1,037",49,"2,859",418,"1,959","1,172",372,49,"1,593",366,"1,318",601,665,"1,266",52,406,189,202,391,15,454,300,49,349,105,347,219,49,268,79,107,81,81,26,327,290,37
VA,16,"7,625","4,285","2,260",58,"6,603","1,022","4,532","2,823",706,58,"3,587",945,"3,093","1,462","1,554","3,016",77,984,469,490,959,25,"1,356",830,45,875,481,"1,262",752,45,797,465,94,78,78,16,719,625,94
VI,1,482,68,51,0,119,363,444,46,35,0,81,363,38,22,16,38,0,11,7,4,11,0,87,0,0,0,87,87,0,0,0,87,0,0,0,0,33,2,31
VT,2,"1,454",959,307,4,"1,270",184,701,379,164,4,547,154,753,580,143,723,30,262,203,50,253,9,217,140,0,140,77,183,110,0,110,73,34,30,30,4,128,111,17
WA,7,"17,760","5,969","6,684",54,"12,707","5,053","10,617","4,032","1,946",54,"6,032","4,585","7,143","1,937","4,738","6,675",468,"2,217",614,"1,467","2,081",136,"2,196","1,031",45,"1,076","1,120","1,927",910,45,955,972,269,121,121,148,"1,318","1,058",260
WI,4,"6,104","3,036","2,638",62,"5,736",368,"3,005","1,760",881,62,"2,703",302,"3,099","1,276","1,757","3,033",66,"1,016",420,574,994,22,521,359,24,383,138,449,289,24,313,136,72,70,70,2,552,528,24
WV,4,"2,240","1,100",501,11,"1,612",628,"1,544",750,277,11,"1,038",506,696,350,224,574,122,228,117,75,192,36,432,242,8,250,182,390,203,8,211,179,42,39,39,3,329,292,37
WY,1,953,292,209,0,501,452,677,245,61,0,306,371,276,47,148,195,81,84,11,44,55,29,244,116,0,116,128,221,116,0,116,105,23,0,0,23,137,110,27
Total,415,"590,364","236,658","156,015","2,025","394,698","195,666","368,174","129,278","71,824","2,025","203,127","165,047","222,190","107,380","84,191","191,571","30,619","70,957","33,586","27,269","60,855","10,102","102,828","36,130","1,438","37,568","65,260","86,289","27,980","1,438","29,418","56,871","16,539","8,150","8,150","8,389","55,619","34,909","20,710"
