State,Number of CoCs,"Overall Homeless, 2015","Sheltered ES Homeless, 2015","Sheltered TH Homeless, 2015","Sheltered SH Homeless, 2015","Sheltered Total Homeless, 2015","Unsheltered Homeless, 2015","Homeless Individuals, 2015","Sheltered ES Homeless Individuals, 2015","Sheltered TH Homeless Individuals, 2015","Sheltered SH Homeless Individuals, 2015","Sheltered Total Homeless Individuals, 2015","Unsheltered Homeless Individuals, 2015","Homeless People in Families, 2015","Sheltered ES Homeless People in Families, 2015","Sheltered TH Homeless People in Families, 2015","Sheltered Total Homeless People in Families, 2015","Unsheltered Homeless People in Families, 2015","Homeless Family Households, 2015","Sheltered ES Homeless Family Households, 2015","Sheltered TH Homeless Family Households, 2015","Sheltered Total Homeless Family Households, 2015","Unsheltered Homeless Family Households, 2015","Chronically Homeless, 2015","Sheltered ES Chronically Homeless, 2015","Sheltered SH Chronically Homeless, 2015","Sheltered Total Chronically Homeless, 2015","Unsheltered Chronically Homeless, 2015","Chronically Homeless Individuals, 2015","Sheltered ES Chronically Homeless Individuals, 2015","Sheltered SH Chronically Homeless Individuals, 2015","Sheltered Total Chronically Homeless Individuals, 2015","Unsheltered Chronically Homeless Individuals, 2015","Chronically Homeless People in Families, 2015","Sheltered ES Chronically Homeless People in Families, 2015","Sheltered Total Chronically Homeless People in Families, 2015","Unsheltered Chronically Homeless People in Families, 2015","Homeless Veterans, 2015","Sheltered ES Homeless Veterans, 2015","Sheltered TH Homeless Veterans, 2015","Sheltered SH Homeless Veterans, 2015","Sheltered Total Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered ES Homeless Unaccompanied Youth (Under 25), 2015","Sheltered TH Homeless Unaccompanied Youth (Under 25), 2015","Sheltered SH Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Total Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Youth Under 18, 2015","Sheltered ES Homeless Unaccompanied Youth Under 18, 2015","Sheltered TH Homeless Unaccompanied Youth Under 18, 2015","Sheltered SH Homeless Unaccompanied Youth Under 18, 2015","Sheltered Total Homeless Unaccompanied Youth Under 18, 2015","Unsheltered Homeless Unaccompanied Youth Under 18, 2015","Homeless Unaccompanied Youth Age 18-24, 2015","Sheltered ES Homeless Unaccompanied Youth Age 18-24, 2015","Sheltered TH Homeless Unaccompanied Youth Age 18-24, 2015","Sheltered SH Homeless Unaccompanied Youth Age 18-24, 2015","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2015","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2015","Homeless Parenting Youth (Under 25), 2015","Sheltered ES Homeless Parenting Youth (Under 25), 2015","Sheltered TH Homeless Parenting Youth (Under 25), 2015","Sheltered Total Homeless Parenting Youth (Under 25), 2015","Unsheltered Homeless Parenting Youth (Under 25), 2015","Homeless Parenting Youth Under 18, 2015","Sheltered ES Homeless Parenting Youth Under 18, 2015","Sheltered TH Homeless Parenting Youth Under 18, 2015","Sheltered Total Homeless Parenting Youth Under 18, 2015","Unsheltered Homeless Parenting Youth Under 18, 2015","Homeless Parenting Youth Age 18-24, 2015","Sheltered ES Homeless Parenting Youth Age 18-24, 2015","Sheltered TH Homeless Parenting Youth Age 18-24, 2015","Sheltered Total Homeless Parenting Youth Age 18-24, 2015","Unsheltered Homeless Parenting Youth Age 18-24, 2015","Homeless Children of Parenting Youth, 2015","Sheltered ES Homeless Children of Parenting Youth, 2015","Sheltered TH Homeless Children of Parenting Youth, 2015","Sheltered Total Homeless Children of Parenting Youth, 2015","Unsheltered Homeless Children of Parenting Youth, 2015"
SC,4,"5,354","1,639","1,807",12,"3,458","1,896","3,934","1,217","1,236",12,"2,465","1,469","1,420",422,571,993,427,510,136,196,332,178,"1,020",513,12,525,495,916,444,12,456,460,104,69,69,35,681,126,344,0,470,211,195,68,57,1,126,69,13,12,0,0,12,1,182,56,57,1,114,68,63,19,40,59,4,1,0,0,0,1,62,19,40,59,3,95,31,56,87,8
SD,1,"1,036",642,258,0,900,136,630,412,94,0,506,124,406,230,164,394,12,125,71,51,122,3,95,67,0,67,28,85,59,0,59,26,10,8,8,2,177,85,85,0,170,7,108,68,15,0,83,25,8,6,2,0,8,0,100,62,13,0,75,25,29,11,18,29,0,0,0,0,0,0,29,11,18,29,0,36,17,19,36,0
TN,10,"9,123","3,540","2,324",15,"5,879","3,244","6,516","2,651","1,409",15,"4,075","2,441","2,607",889,915,"1,804",803,869,295,283,578,291,"1,650",695,7,702,948,"1,492",641,7,648,844,158,54,54,104,945,335,419,2,756,189,673,341,113,0,454,219,14,3,0,0,3,11,659,338,113,0,451,208,65,24,12,36,29,0,0,0,0,0,65,24,12,36,29,94,33,16,49,45
TX,11,"23,678","10,244","5,829",119,"16,192","7,486","16,265","7,050","2,065",119,"9,234","7,031","7,413","3,194","3,764","6,958",455,"2,316",986,"1,173","2,159",157,"4,304","1,823",92,"1,915","2,389","3,778","1,451",92,"1,543","2,235",526,372,372,154,"2,393",785,686,19,"1,490",903,"1,416",566,230,1,797,619,218,155,30,0,185,33,"1,198",411,200,1,612,586,161,59,99,158,3,3,1,2,3,0,158,58,97,155,3,252,84,160,244,8
UT,3,"3,025","1,912",865,22,"2,799",226,"1,809","1,232",351,22,"1,605",204,"1,216",680,514,"1,194",22,364,208,149,357,7,233,213,2,215,18,178,163,2,165,13,55,50,50,5,337,128,183,2,313,24,132,78,27,1,106,26,11,11,0,0,11,0,121,67,27,1,95,26,34,22,12,34,0,0,0,0,0,0,34,22,12,34,0,40,27,13,40,0
VA,16,"7,001","4,453","1,688",49,"6,190",811,"4,190","2,884",501,49,"3,434",756,"2,811","1,569","1,187","2,756",55,890,506,368,874,16,"1,158",769,20,789,369,"1,041",682,20,702,339,117,87,87,30,604,370,131,12,513,91,330,241,46,1,288,42,12,12,0,0,12,0,318,229,46,1,276,42,129,71,56,127,2,0,0,0,0,0,129,71,56,127,2,187,101,85,186,1
VI,1,337,53,32,0,85,252,308,36,20,0,56,252,29,17,12,29,0,10,7,3,10,0,22,4,0,4,18,22,4,0,4,18,0,0,0,0,34,4,0,0,4,30,12,2,2,0,4,8,0,0,0,0,0,0,12,2,2,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,2,"1,523","1,082",287,4,"1,373",150,910,623,148,4,775,135,613,459,139,598,15,201,151,46,197,4,166,111,0,111,55,139,84,0,84,55,27,27,27,0,119,42,71,0,113,6,101,62,25,0,87,14,4,2,1,0,3,1,97,60,24,0,84,13,34,24,10,34,0,1,1,0,1,0,33,23,10,33,0,35,25,10,35,0
WA,7,"19,419","6,624","5,630",44,"12,298","7,121","12,526","4,375","1,781",44,"6,200","6,326","6,893","2,249","3,849","6,098",795,"2,154",674,"1,262","1,936",218,"2,482",999,28,"1,027","1,455","2,261",880,28,908,"1,353",221,119,119,102,"1,293",482,400,4,886,407,"1,341",337,362,1,700,641,154,68,23,0,91,63,"1,187",269,339,1,609,578,310,92,204,296,14,12,1,10,11,1,298,91,194,285,13,351,101,241,342,9
WI,4,"6,057","3,112","2,443",60,"5,615",442,"2,992","1,765",822,60,"2,647",345,"3,065","1,347","1,621","2,968",97,954,422,501,923,31,464,349,28,377,87,361,249,28,277,84,103,100,100,3,534,175,340,0,515,19,334,167,118,2,287,47,33,25,0,0,25,8,301,142,118,2,262,39,195,70,114,184,11,0,0,0,0,0,195,70,114,184,11,284,94,176,270,14
WV,4,"1,835","1,020",370,13,"1,403",432,"1,414",811,225,13,"1,049",365,421,209,145,354,67,129,62,46,108,21,386,221,5,226,160,352,187,5,192,160,34,34,34,0,305,163,64,0,227,78,145,79,24,0,103,42,11,11,0,0,11,0,134,68,24,0,92,42,23,7,9,16,7,3,0,3,3,0,20,7,6,13,7,29,11,10,21,8
WY,1,798,231,276,0,507,291,500,187,105,0,292,208,298,44,171,215,83,93,16,55,71,22,102,37,0,37,65,86,35,0,35,51,16,2,2,14,112,33,50,0,83,29,37,18,8,0,26,11,4,2,0,0,2,2,33,16,8,0,24,9,12,4,7,11,1,0,0,0,0,0,12,4,7,11,1,20,5,14,19,1
Total,406,"564,708","259,297","130,282","1,861","391,440","173,268","358,422","139,970","63,785","1,861","205,616","152,806","206,286","119,327","66,497","185,824","20,462","64,197","36,752","21,312","58,064","6,133","96,275","35,615","1,152","36,767","59,508","83,170","27,203","1,152","28,355","54,815","13,105","8,412","8,412","4,693","47,725","13,450","17,683",372,"31,505","16,220","36,907","11,963","7,827",48,"19,838","17,069","4,667","1,575",712,0,"2,287","2,380","32,240","10,388","7,115",48,"17,551","14,689","9,901","5,682","3,780","9,462",439,126,32,86,118,8,"9,775","5,650","3,694","9,344",431,"13,242","7,432","5,237","12,669",573
